game_id,team1_id,team2_id,season,team1_seed,team2_seed,team1_position,team2_position,strongseed,weakseed,team1_region,team2_region,slot,host,host_lat,host_long,team1_teamname,team2_teamname,team1_coach_id,team1_coach_name,team1_pt_school_ncaa,team1_pt_overall_ncaa,team1_pt_school_s16,team1_pt_overall_s16,team1_pt_school_ff,team1_pt_overall_ff,team1_pt_career_school_wins,team1_pt_career_school_losses,team1_pt_career_overall_losses,team1_pt_team_season_wins,team1_pt_team_season_losses,team1_pt_coach_season_wins,team1_pt_coach_season_losses,team1_pt_career_overall_wins,team2_coach_id,team2_coach_name,team2_pt_school_ncaa,team2_pt_overall_ncaa,team2_pt_school_s16,team2_pt_overall_s16,team2_pt_school_ff,team2_pt_overall_ff,team2_pt_career_school_wins,team2_pt_career_school_losses,team2_pt_career_overall_losses,team2_pt_team_season_wins,team2_pt_team_season_losses,team2_pt_coach_season_wins,team2_pt_coach_season_losses,team2_pt_career_overall_wins,team1_fg2pct,team1_fg3pct,team1_ftpct,team1_blockpct,team1_oppfg2pct,team1_oppfg3pct,team1_oppftpct,team1_oppblockpct,team1_f3grate,team1_oppf3grate,team1_arate,team1_opparate,team1_stlrate,team1_oppstlrate,team2_fg2pct,team2_fg3pct,team2_ftpct,team2_blockpct,team2_oppfg2pct,team2_oppfg3pct,team2_oppftpct,team2_oppblockpct,team2_f3grate,team2_oppf3grate,team2_arate,team2_opparate,team2_stlrate,team2_oppstlrate,team1_tempo,team1_adjtempo,team1_oe,team1_adjoe,team1_de,team1_adjde,team2_tempo,team2_adjtempo,team2_oe,team2_adjoe,team2_de,team2_adjde,team1_lat,team1_long,team2_lat,team2_long,team1_coaches_preseason,team2_coaches_preseason,team1_coaches_before_final,team2_coaches_before_final,team1_ap_preseason,team2_ap_preseason,team1_ap_final,team2_ap_final
2020-1124-1257,1124,1257,2020,1,2,W01,W02,1,2,W,W,R4W1,houston,29.7604,-95.3698,Baylor,Louisville,scott-drew-1,Scott Drew,8.0,8.0,4.0,4.0,0.0,0.0,344.0,212,223,26.0,3,26.0,3,364.0,chris-mack-1,Chris Mack,1.0,9.0,0.0,4.0,0.0,0.0,44.0,20,117,24.0,6,24.0,6,259.0,47.50445632798571,35.060975609756106,68.978102189781,12.5475285171103,44.3916349809886,31.095406360424,68.6746987951807,13.012477718360099,36.8953880764904,34.9814585908529,54.128440366972505,52.7216174183515,0.12108075787585498,0.0866998019357973,50.09025270758121,37.5552282768778,73.0902777777778,7.94258373205742,45.07177033492821,30.1237964236589,72.9571984435798,9.02527075812274,37.9966424174594,41.0270880361174,53.45679012345679,47.2463768115942,0.0748376333194304,0.0891378180301496,66.6472,66.1893,106.251,113.545,90.0942,88.056,67.1641,67.1418,109.678,114.45,94.008,93.0868,31.545956,-97.119359,38.215752,-85.758843,16.0,5.0,5.0,14.0,18.0,5.0,5.0,15.0
2020-1124-1371,1124,1371,2020,1,3,W01,W03,1,3,W,W,R4W1,houston,29.7604,-95.3698,Baylor,Seton Hall,scott-drew-1,Scott Drew,8.0,8.0,4.0,4.0,0.0,0.0,344.0,212,223,26.0,3,26.0,3,364.0,kevin-willard-1,Kevin Willard,4.0,4.0,0.0,0.0,0.0,0.0,191.0,136,185,21.0,8,21.0,8,236.0,47.50445632798571,35.060975609756106,68.978102189781,12.5475285171103,44.3916349809886,31.095406360424,68.6746987951807,13.012477718360099,36.8953880764904,34.9814585908529,54.128440366972505,52.7216174183515,0.12108075787585498,0.0866998019357973,52.2531160115053,33.4739803094233,71.5220949263502,14.8717948717949,44.4444444444444,31.9805194805195,70.1208981001727,8.82070949185043,40.5359179019384,34.4904815229563,55.81098339719029,48.5355648535565,0.0987016039010634,0.0902414664238294,66.6472,66.1893,106.251,113.545,90.0942,88.056,70.9208,69.7948,105.375,112.264,96.09299999999999,92.7216,31.545956,-97.119359,40.742859,-74.24875300000001,16.0,12.0,5.0,15.0,18.0,13.0,5.0,16.0
2020-1124-1120,1124,1120,2020,1,4,W01,W04,1,4,W,W,R3W1,houston,29.7604,-95.3698,Baylor,Auburn,scott-drew-1,Scott Drew,8.0,8.0,4.0,4.0,0.0,0.0,344.0,212,223,26.0,3,26.0,3,364.0,bruce-pearl-1,Bruce Pearl,2.0,10.0,1.0,5.0,1.0,1.0,125.0,77,176,25.0,5,25.0,5,356.0,47.50445632798571,35.060975609756106,68.978102189781,12.5475285171103,44.3916349809886,31.095406360424,68.6746987951807,13.012477718360099,36.8953880764904,34.9814585908529,54.128440366972505,52.7216174183515,0.12108075787585498,0.0866998019357973,53.2567049808429,30.582524271844697,67.359413202934,12.872975277067301,46.206308610400704,32.5337331334333,71.7495987158909,9.2911877394636,44.1113490364026,36.25,49.133663366336606,45.5862977602108,0.0890285707894575,0.0926076088111442,66.6472,66.1893,106.251,113.545,90.0942,88.056,70.4532,69.2325,108.29,111.366,97.7105,95.45700000000001,31.545956,-97.119359,32.600201,-85.492409,16.0,24.0,5.0,17.0,18.0,23.0,5.0,20.0
2020-1124-1228,1124,1228,2020,1,5,W01,W05,1,5,W,W,R3W1,houston,29.7604,-95.3698,Baylor,Illinois,scott-drew-1,Scott Drew,8.0,8.0,4.0,4.0,0.0,0.0,344.0,212,223,26.0,3,26.0,3,364.0,brad-underwood-1,Brad Underwood,0.0,4.0,0.0,0.0,0.0,0.0,47.0,48,75,21.0,9,21.0,9,156.0,47.50445632798571,35.060975609756106,68.978102189781,12.5475285171103,44.3916349809886,31.095406360424,68.6746987951807,13.012477718360099,36.8953880764904,34.9814585908529,54.128440366972505,52.7216174183515,0.12108075787585498,0.0866998019357973,49.551752241238795,30.3142329020333,72.6315789473684,7.1488645920942,45.7527333894029,33.041958041958,72.209026128266,8.14995925020375,30.5995475113122,32.4815445769449,50.0,46.5211459754434,0.0683553238519216,0.0837105052969184,66.6472,66.1893,106.251,113.545,90.0942,88.056,67.0027,66.0472,105.054,110.895,97.245,93.6652,31.545956,-97.119359,39.730827000000005,-90.246256,16.0,,5.0,22.0,18.0,,5.0,21.0
2020-1124-1234,1124,1234,2020,1,6,W01,W06,1,6,W,W,R4W1,houston,29.7604,-95.3698,Baylor,Iowa,scott-drew-1,Scott Drew,8.0,8.0,4.0,4.0,0.0,0.0,344.0,212,223,26.0,3,26.0,3,364.0,fran-mccaffery-1,Fran Mccaffery,4.0,9.0,0.0,0.0,0.0,0.0,194.0,142,319,20.0,10,20.0,10,445.0,47.50445632798571,35.060975609756106,68.978102189781,12.5475285171103,44.3916349809886,31.095406360424,68.6746987951807,13.012477718360099,36.8953880764904,34.9814585908529,54.128440366972505,52.7216174183515,0.12108075787585498,0.0866998019357973,51.3304721030043,34.7083926031294,74.96111975116641,10.5540897097625,50.3078276165347,32.0580474934037,72.58382642998029,9.871244635193131,37.6338329764454,40.0,63.895486935867005,58.6503067484663,0.0873292564439618,0.0877864776818883,66.6472,66.1893,106.251,113.545,90.0942,88.056,70.5524,70.2155,110.275,117.28299999999999,102.35600000000001,98.6328,31.545956,-97.119359,41.660695000000004,-91.535698,16.0,,5.0,25.0,18.0,,5.0,
2020-1124-1326,1124,1326,2020,1,7,W01,W07,1,7,W,W,R4W1,houston,29.7604,-95.3698,Baylor,Ohio St,scott-drew-1,Scott Drew,8.0,8.0,4.0,4.0,0.0,0.0,344.0,212,223,26.0,3,26.0,3,364.0,chris-holtmann-1,Chris Holtmann,2.0,5.0,0.0,1.0,0.0,0.0,66.0,33,118,21.0,9,21.0,9,180.0,47.50445632798571,35.060975609756106,68.978102189781,12.5475285171103,44.3916349809886,31.095406360424,68.6746987951807,13.012477718360099,36.8953880764904,34.9814585908529,54.128440366972505,52.7216174183515,0.12108075787585498,0.0866998019357973,49.6969696969697,37.2857142857143,75.2012882447665,10.200190657769301,44.232602478550994,32.7485380116959,69.0944881889764,9.595959595959599,41.4201183431953,39.469128678592,54.7144754316069,49.12790697674421,0.0754849362793427,0.0745171806860178,66.6472,66.1893,106.251,113.545,90.0942,88.056,66.6657,66.1674,108.089,114.271,94.4526,92.0437,31.545956,-97.119359,39.998389,-83.009001,16.0,18.0,5.0,6.0,18.0,16.0,5.0,19.0
2020-1124-1153,1124,1153,2020,1,8,W01,W08,1,8,W,W,R2W1,omaha,41.25,-96.0,Baylor,Cincinnati,scott-drew-1,Scott Drew,8.0,8.0,4.0,4.0,0.0,0.0,344.0,212,223,26.0,3,26.0,3,364.0,john-brannen-1,John Brannen,0.0,2.0,0.0,0.0,0.0,0.0,20.0,9,61,20.0,9,20.0,9,102.0,47.50445632798571,35.060975609756106,68.978102189781,12.5475285171103,44.3916349809886,31.095406360424,68.6746987951807,13.012477718360099,36.8953880764904,34.9814585908529,54.128440366972505,52.7216174183515,0.12108075787585498,0.0866998019357973,51.689497716895,31.8770226537217,67.6991150442478,12.510711225364199,43.101970865466996,33.655394524959696,72.98850574712641,10.684931506849301,36.077057793345,34.7315436241611,57.2739187418087,50.7022471910112,0.0917602996254682,0.0941011235955056,66.6472,66.1893,106.251,113.545,90.0942,88.056,68.8441,67.9867,102.29299999999999,108.762,94.355,94.744,31.545956,-97.119359,39.131159000000004,-84.51428,16.0,,5.0,20.0,18.0,,5.0,
2020-1124-1433,1124,1433,2020,1,9,W01,W09,1,9,W,W,R2W1,omaha,41.25,-96.0,Baylor,VA Commonwealth,scott-drew-1,Scott Drew,8.0,8.0,4.0,4.0,0.0,0.0,344.0,212,223,26.0,3,26.0,3,364.0,mike-rhoades-1,Mike Rhoades,1.0,1.0,0.0,0.0,0.0,0.0,61.0,35,87,18.0,12,18.0,12,108.0,47.50445632798571,35.060975609756106,68.978102189781,12.5475285171103,44.3916349809886,31.095406360424,68.6746987951807,13.012477718360099,36.8953880764904,34.9814585908529,54.128440366972505,52.7216174183515,0.12108075787585498,0.0866998019357973,48.355555555555604,34.6326836581709,69.5945945945946,12.3730378578024,46.814404432132996,33.7370242214533,70.6375838926175,8.71111111111111,37.2209821428571,34.7983142685129,52.774193548387096,52.564102564102605,0.12905322284892,0.0956293665715015,66.6472,66.1893,106.251,113.545,90.0942,88.056,69.2247,69.0245,101.735,104.697,93.8446,94.4047,31.545956,-97.119359,37.547631,-77.453597,16.0,25.0,5.0,,18.0,,5.0,
2020-1124-1320,1124,1320,2020,1,10,W01,W10,1,10,W,W,R4W1,houston,29.7604,-95.3698,Baylor,Northern Iowa,scott-drew-1,Scott Drew,8.0,8.0,4.0,4.0,0.0,0.0,344.0,212,223,26.0,3,26.0,3,364.0,ben-jacobson-4,Ben Jacobson,4.0,4.0,1.0,1.0,0.0,0.0,291.0,173,173,25.0,5,25.0,5,291.0,47.50445632798571,35.060975609756106,68.978102189781,12.5475285171103,44.3916349809886,31.095406360424,68.6746987951807,13.012477718360099,36.8953880764904,34.9814585908529,54.128440366972505,52.7216174183515,0.12108075787585498,0.0866998019357973,52.6096033402923,38.60946745562129,75.609756097561,6.4176245210728,47.22222222222221,33.7190082644628,68.3098591549296,7.411273486430059,41.370869033047704,36.6889023650697,45.620915032679704,43.902439024390205,0.0694376971557749,0.10415654573366198,66.6472,66.1893,106.251,113.545,90.0942,88.056,65.687,65.7589,110.74,112.694,97.8905,99.26700000000001,31.545956,-97.119359,42.514922999999996,-92.459703,16.0,,5.0,,18.0,,5.0,
2020-1124-1280,1124,1280,2020,1,11,W01,W11,1,11,W,W,R4W1,houston,29.7604,-95.3698,Baylor,Mississippi St,scott-drew-1,Scott Drew,8.0,8.0,4.0,4.0,0.0,0.0,344.0,212,223,26.0,3,26.0,3,364.0,ben-howland-1,Ben Howland,1.0,11.0,0.0,5.0,0.0,3.0,98.0,66,274,20.0,10,20.0,10,497.0,47.50445632798571,35.060975609756106,68.978102189781,12.5475285171103,44.3916349809886,31.095406360424,68.6746987951807,13.012477718360099,36.8953880764904,34.9814585908529,54.128440366972505,52.7216174183515,0.12108075787585498,0.0866998019357973,51.944894651539705,33.6116910229645,75.4437869822485,13.994685562444598,48.8042515500443,31.201248049922,73.345259391771,7.45542949756888,27.962638645650898,36.214689265536705,51.122194513715705,50.466045272969396,0.0833607809084648,0.105398688504956,66.6472,66.1893,106.251,113.545,90.0942,88.056,67.3327,66.2338,109.23100000000001,113.397,101.1,99.8233,31.545956,-97.119359,33.425002,-88.87965799999999,16.0,,5.0,,18.0,,5.0,
